PRECINCT,COUNCILMANIC_DISTRICTS,LEGISLATIVE_DISTRICTS,COUNT
22001,011,46,2256
22002,011,46,2508
23001,011,46,2477
23002,011,46,1828
23003,011,46,3309
24001,011,46,1239
24002,011,46,1483
24003,011,46,3011
24004,011,46,4067
24005,011,46,5779
25001,008,41,3573
25002,008,41,2487
25003,010,40,1238
25004,010,40,3339
25005,010,46,2528
25006,010,46,1227
25007,010,46,654
25008,010,46,2914
25009,010,46,1601
25010,010,46,1722
25011,010,46,893
25012,010,46,1790
25013,010,46,1086
25014,010,46,1476
25015,010,46,1525
25016,010,46,2162
25017,010,41,2432
26001,001,46,468
26002,001,46,2270
26003,001,46,1786
26004,001,46,1342
26005,001,46,662
26006,001,46,1315
26007,001,46,1979
26008,001,46,2531
26009,001,46,4622
26010,001,46,3010
26011,002,46,1491
26012,013,46,669
26013,013,45,1189
26014,002,45,1142
26015,002,45,1929
26016,002,45,1541
26017,013,45,768
26018,013,45,1339
26019,013,45,1817
26020,013,45,949
26021,013,45,1144
26022,002,45,976
26023,002,45,1433
26024,002,45,2693
26025,002,45,2260
26026,002,45,2293
26027,002,45,1755
26028,002,45,1476
26029,002,45,5184
26030,002,45,1239
26031,002,45,1075
26032,013,45,2213
26033,013,45,1944
27001,003,45,2869
27002,003,45,840
27003,003,45,949
27004,003,45,763
27005,003,45,3172
27006,002,45,3968
27007,002,45,1670
27008,002,45,3235
27009,003,45,2000
27010,002,45,1005
27011,003,45,3262
27012,003,45,847
27013,003,45,3731
27014,003,45,3432
27015,003,45,2623
27016,003,45,972
27017,003,43A,2259
27018,003,45,2336
27019,004,45,1555
27020,004,43A,3201
27021,004,43A,2449
27022,003,43A,3631
27023,003,43A,739
27024,003,43A,883
27025,003,43A,1701
27026,003,43A,1229
27027,004,43A,2214
27028,004,43A,1666
27029,004,43A,1191
27030,004,43A,1880
27031,004,43A,2810
27032,004,43A,3268
27033,004,43A,3069
27034,004,43A,2486
27035,004,43A,3890
27036,004,43A,1331
27037,004,43A,2765
27038,004,43A,616
27039,004,43A,667
27040,004,41,3297
27041,004,43A,1719
27042,005,41,2547
27043,006,41,1357
27044,006,41,1719
27045,006,41,2687
27046,014,41,1136
27047,007,41,1843
27048,006,41,1533
27049,005,41,4673
27050,005,41,1711
27051,005,41,602
27052,006,41,3578
27053,006,40,2253
27054,006,40,1292
27055,006,41,548
27056,006,41,1404
27057,005,41,2887
27058,006,41,922
27059,005,41,1196
27060,005,41,2089
27061,005,41,1041
27062,005,41,2956
27063,005,41,2874
27064,005,41,2575
27065,005,41,4869
27066,005,41,3539
27067,005,41,3006
27069,014,41,197
28001,005,41,1773
28002,005,41,3039
28003,006,41,634
28004,005,41,969
28005,005,41,2200
28006,008,41,3356
28007,008,41,1604
28008,008,41,2019
28009,008,41,2813
28010,008,41,2623
28011,008,41,2675
28012,008,41,1932
28013,008,41,2185
28014,008,41,697
28015,008,41,2638
