PRECINCT,COUNCILMANIC_DISTRICTS,LEGISLATIVE_DISTRICTS,GENDER,n
15024,006,40,F,1380
15024,006,40,M,1159
15024,006,40,U,5
15025,006,40,F,484
15025,006,40,M,599
15025,006,40,U,1
16001,009,40,F,487
16001,009,40,M,477
16001,009,40,U,2
16002,009,40,F,860
16002,009,40,M,899
16003,009,40,F,617
16003,009,40,M,596
16003,009,40,U,5
16004,009,40,F,419
16004,009,40,M,434
16004,009,40,U,1
16005,009,40,F,1302
16005,009,40,M,1094
16005,009,40,U,2
16006,009,40,F,1180
16006,009,40,M,895
16006,009,40,U,2
16007,009,40,F,958
16007,009,40,M,778
16007,009,40,U,1
16008,009,40,F,634
16008,009,40,M,538
16008,009,40,U,2
16009,009,40,F,1053
16009,009,40,M,865
16009,009,40,U,3
16010,009,40,F,621
16010,009,40,M,490
16011,009,40,F,450
16011,009,40,M,392
16011,009,40,U,2
16012,009,40,F,1094
16012,009,40,M,908
16012,009,40,U,1
16013,008,41,F,1136
16013,008,41,M,887
16013,008,41,U,4
16014,008,41,F,2039
16014,008,41,M,1568
16014,008,41,U,5
17001,011,40,F,134
17001,011,40,M,118
17002,011,40,F,2231
17002,011,40,M,1883
17002,011,40,U,6
18001,009,40,F,787
18001,009,40,M,601
18001,009,40,U,2
18002,009,40,F,1222
18002,009,40,M,1256
18002,009,40,U,4
19001,009,40,F,855
19001,009,40,M,762
19001,009,40,U,2
19002,009,40,F,1330
19002,009,40,M,1389
19002,009,40,U,9
19003,009,40,F,161
19003,009,40,M,143
20001,009,40,F,1075
20001,009,40,M,945
20001,009,40,U,5
20002,009,40,F,442
20002,009,40,M,390
20003,009,40,F,1218
20003,009,40,M,1117
20003,009,40,U,3
20004,009,40,F,132
20004,009,40,M,133
20005,009,40,F,653
20005,009,40,M,583
20005,009,40,U,1
20006,008,41,F,2162
20006,008,41,M,1713
20006,008,41,U,2
20007,008,41,F,1348
20007,008,41,M,1221
20007,008,41,U,1
20008,008,41,F,488
20008,008,41,M,358
20008,008,41,U,3
20009,010,40,F,435
20009,010,40,M,393
20009,010,40,U,1
20010,009,40,F,395
20010,009,40,M,337
20010,009,40,U,2
20011,009,40,F,959
20011,009,40,M,950
20011,009,40,U,5
21001,011,46,F,794
21001,011,46,M,751
21001,011,46,U,3
21002,010,40,F,1051
21002,010,40,M,1072
21002,010,40,U,2
21003,010,40,F,1356
21003,010,40,M,1231
21003,010,40,U,7
21004,010,46,F,208
21004,010,46,M,255
22001,011,46,F,1137
22001,011,46,M,843
22001,011,46,U,3
22002,011,46,F,1141
22002,011,46,M,1147
22002,011,46,U,3
23001,011,46,F,1056
23001,011,46,M,1124
23001,011,46,U,2
23002,011,46,F,753
23002,011,46,M,864
23002,011,46,U,1
23003,011,46,F,1390
23003,011,46,M,1505
23003,011,46,U,3
24001,011,46,F,557
24001,011,46,M,561
24001,011,46,U,2
24002,011,46,F,647
24002,011,46,M,658
24003,011,46,F,1446
24003,011,46,M,1298
24003,011,46,U,3
24004,011,46,F,1847
24004,011,46,M,1809
24004,011,46,U,5
24005,011,46,F,2600
24005,011,46,M,2545
24005,011,46,U,5
25001,008,41,F,1936
25001,008,41,M,1408
25001,008,41,U,5
25002,008,41,F,1336
25002,008,41,M,999
25002,008,41,U,4
25003,010,40,F,625
25003,010,40,M,529
25003,010,40,U,3
25004,010,40,F,1603
25004,010,40,M,1485
25004,010,40,U,4
25005,010,46,F,1168
25005,010,46,M,1150
25005,010,46,U,9
25006,010,46,F,681
25006,010,46,M,485
25007,010,46,F,329
25007,010,46,M,302
25008,010,46,F,1694
25008,010,46,M,1062
25008,010,46,U,2
25009,010,46,F,919
25009,010,46,M,581
25009,010,46,U,2
25010,010,46,F,870
25010,010,46,M,743
25010,010,46,U,1
25011,010,46,F,425
25011,010,46,M,410
25012,010,46,F,893
25012,010,46,M,795
25012,010,46,U,1
25013,010,46,F,502
25013,010,46,M,502
25013,010,46,U,2
25014,010,46,F,774
25014,010,46,M,595
25014,010,46,U,1
25015,010,46,F,779
25015,010,46,M,627
25015,010,46,U,2
25016,010,46,F,1019
25016,010,46,M,988
25017,010,41,F,1356
25017,010,41,M,941
25017,010,41,U,1
26001,001,46,F,223
26001,001,46,M,204
26002,001,46,F,1151
26002,001,46,M,956
26002,001,46,U,4
26003,001,46,F,863
26003,001,46,M,819
26003,001,46,U,2
26004,001,46,F,657
26004,001,46,M,599
26004,001,46,U,3
26005,001,46,F,323
26005,001,46,M,290
26005,001,46,U,1
26006,001,46,F,597
26006,001,46,M,598
26006,001,46,U,3
26007,001,46,F,895
26007,001,46,M,866
