County,County Name,Legislative,Office Name,Candidate Name,Party,Winner,Write-In?,Early Votes for Candidate,Early Votes Against,Election Night Votes for Candidate,Election Night Votes Against,Mail-In Ballot 1 Votes for Candidate,Mail-In Ballot 1 Votes Against,Provisional Votes for Candidate,Provisional Votes Against,Mail-In Ballot 2 Votes for Candidate,Mail-In Ballot 2 Votes Against,Total Votes For Candidate,Total Votes Against,Total Votes Cast
03,Baltimore City,40,Judge Circuit Court,Charles Mario Blomquist,JUD,Y,NA,1956,NA,6562,NA,3012,NA,593,NA,1252,NA,13375,0,13375
03,Baltimore City,40,Judge Circuit Court,Myshala E. Middleton,JUD,Y,NA,2426,NA,8604,NA,3703,NA,947,NA,1538,NA,17218,0,17218
03,Baltimore City,40,Judge Circuit Court,Barry G. Williams,JUD,Y,NA,2283,NA,7692,NA,3597,NA,750,NA,1411,NA,15733,0,15733
03,Baltimore City,40,Judge Circuit Court,Other Write-Ins,NA,NA,Y,35,NA,210,NA,75,NA,15,NA,26,NA,361,0,361
03,Baltimore City,40,Judge Spec Appeal at Lg,Stuart R. Berger,JUD,Y,NA,2363,557,8342,2731,3935,706,856,389,1495,309,16991,4692,21683
03,Baltimore City,40,Judge Spec Appeal at Lg,Terrence M. R. Zic,JUD,Y,NA,2293,571,8194,2653,3705,852,879,358,1375,371,16446,4805,21251
03,Baltimore City,40,State's Attorney,Ivan Bates,DEM,Y,NA,3211,NA,12273,NA,5445,NA,1439,NA,2266,NA,24634,0,24634
03,Baltimore City,40,State's Attorney,Other Write-Ins,NA,NA,Y,72,NA,299,NA,99,NA,29,NA,28,NA,527,0,527
03,Baltimore City,40,Clerk Circuit Court,Xavier A. Conaway,DEM,Y,NA,2952,NA,11224,NA,4799,NA,1377,NA,1951,NA,22303,0,22303
03,Baltimore City,40,Clerk Circuit Court,Other Write-Ins,NA,NA,Y,71,NA,225,NA,107,NA,15,NA,68,NA,486,0,486
03,Baltimore City,40,Register of Wills,Belinda K. Conaway,DEM,Y,NA,2998,NA,11332,NA,4940,NA,1378,NA,1979,NA,22627,0,22627
03,Baltimore City,40,Register of Wills,Other Write-Ins,NA,NA,Y,50,NA,181,NA,59,NA,13,NA,31,NA,334,0,334
03,Baltimore City,40,Judge Orphans' Court,"Charles ""Chuck"" Bernstein",DEM,Y,NA,2551,NA,9124,NA,4171,NA,989,NA,1702,NA,18537,0,18537
03,Baltimore City,40,Judge Orphans' Court,Lewyn Scott Garrett,DEM,Y,NA,2524,NA,9035,NA,4090,NA,964,NA,1693,NA,18306,0,18306
03,Baltimore City,40,Judge Orphans' Court,Michele E. Loewenthal,DEM,Y,NA,2542,NA,9358,NA,4153,NA,1026,NA,1745,NA,18824,0,18824
03,Baltimore City,40,Judge Orphans' Court,Other Write-Ins,NA,NA,Y,26,NA,153,NA,38,NA,11,NA,21,NA,249,0,249
03,Baltimore City,40,Sheriff,Sam Cogen,DEM,Y,NA,3000,NA,11321,NA,4983,NA,1332,NA,2050,NA,22686,0,22686
03,Baltimore City,40,Sheriff,Other Write-Ins,NA,NA,Y,29,NA,149,NA,38,NA,15,NA,10,NA,241,0,241
03,Baltimore City,40,Board of Ed at Large,April Christina Curley,NON,NA,NA,1071,NA,3843,NA,2148,NA,435,NA,757,NA,8254,0,8254
03,Baltimore City,40,Board of Ed at Large,Ashley E. Esposito,NON,Y,NA,1349,NA,5585,NA,2270,NA,542,NA,1085,NA,10831,0,10831
03,Baltimore City,40,Board of Ed at Large,Salimah Jasani,NON,NA,NA,1043,NA,4389,NA,1484,NA,423,NA,963,NA,8302,0,8302
03,Baltimore City,40,Board of Ed at Large,Kwame Kenyatta-Bey,NON,Y,NA,1731,NA,5385,NA,2326,NA,623,NA,738,NA,10803,0,10803
03,Baltimore City,40,Board of Ed at Large,Other Write-Ins,NA,NA,Y,21,NA,110,NA,38,NA,8,NA,5,NA,182,0,182
03,Baltimore City,45,Governor / Lt. Governor,Dan Cox and Gordana Schifanelli,REP,NA,NA,302,NA,1460,NA,394,NA,68,NA,98,NA,2322,0,2322
03,Baltimore City,45,Governor / Lt. Governor,Wes Moore and Aruna Miller,DEM,Y,NA,4252,NA,11863,NA,5447,NA,983,NA,1879,NA,24424,0,24424
