Election,Candidate,Party,Precinct,Votes
Governor,WRITE-IN,,001-001,2
Governor,WRITE-IN,,001-002,4
Governor,WRITE-IN,,001-003,2
Governor,WRITE-IN,,001-004,3
Governor,WRITE-IN,,001-005,2
Governor,WRITE-IN,,002-001,0
Governor,WRITE-IN,,002-002,5
Governor,WRITE-IN,,002-003,6
Governor,WRITE-IN,,003-001,0
Governor,WRITE-IN,,003-002,0
Governor,WRITE-IN,,003-003,5
Governor,WRITE-IN,,004-001,2
Governor,WRITE-IN,,004-002,3
Governor,WRITE-IN,,004-003,1
Governor,WRITE-IN,,005-001,1
Governor,WRITE-IN,,005-002,0
Governor,WRITE-IN,,006-001,1
Governor,WRITE-IN,,006-002,0
Governor,WRITE-IN,,006-003,1
Governor,WRITE-IN,,006-004,2
Governor,WRITE-IN,,006-005,1
Governor,WRITE-IN,,007-001,0
Governor,WRITE-IN,,007-002,0
Governor,WRITE-IN,,007-003,1
Governor,WRITE-IN,,007-004,0
Governor,WRITE-IN,,008-001,0
Governor,WRITE-IN,,008-002,0
Governor,WRITE-IN,,008-003,0
Governor,WRITE-IN,,008-004,0
Governor,WRITE-IN,,008-005,0
Governor,WRITE-IN,,008-006,0
Governor,WRITE-IN,,008-007,0
Governor,WRITE-IN,,008-008,0
Governor,WRITE-IN,,008-009,0
Governor,WRITE-IN,,008-010,1
Governor,WRITE-IN,,008-011,0
Governor,WRITE-IN,,009-001,0
Governor,WRITE-IN,,009-002,2
Governor,WRITE-IN,,009-003,0
Governor,WRITE-IN,,009-004,1
Governor,WRITE-IN,,009-005,1
Governor,WRITE-IN,,009-006,1
Governor,WRITE-IN,,009-007,2
Governor,WRITE-IN,,009-008,0
Governor,WRITE-IN,,009-009,0
Governor,WRITE-IN,,009-010,1
Governor,WRITE-IN,,009-011,0
Governor,WRITE-IN,,009-012,0
Governor,WRITE-IN,,009-013,0
Governor,WRITE-IN,,009-014,1
Governor,WRITE-IN,,009-015,1
Governor,WRITE-IN,,010-001,1
Governor,WRITE-IN,,010-002,2
Governor,WRITE-IN,,010-003,0
Governor,WRITE-IN,,010-004,0
Governor,WRITE-IN,,011-001,2
Governor,WRITE-IN,,011-002,0
Governor,WRITE-IN,,011-003,0
Governor,WRITE-IN,,011-004,1
Governor,WRITE-IN,,011-005,1
Governor,WRITE-IN,,011-006,2
Governor,WRITE-IN,,011-007,3
Governor,WRITE-IN,,011-008,0
Governor,WRITE-IN,,012-001,3
Governor,WRITE-IN,,012-002,0
Governor,WRITE-IN,,012-003,0
Governor,WRITE-IN,,012-004,1
Governor,WRITE-IN,,012-005,2
Governor,WRITE-IN,,012-006,0
Governor,WRITE-IN,,012-007,1
Governor,WRITE-IN,,012-008,4
Governor,WRITE-IN,,012-009,0
Governor,WRITE-IN,,012-010,0
Governor,WRITE-IN,,012-011,0
Governor,WRITE-IN,,012-012,0
Governor,WRITE-IN,,013-001,0
Governor,WRITE-IN,,013-002,4
Governor,WRITE-IN,,013-003,1
Governor,WRITE-IN,,013-004,1
Governor,WRITE-IN,,013-005,0
Governor,WRITE-IN,,013-006,0
Governor,WRITE-IN,,013-007,0
Governor,WRITE-IN,,013-008,2
Governor,WRITE-IN,,013-009,1
Governor,WRITE-IN,,013-010,3
Governor,WRITE-IN,,013-011,4
Governor,WRITE-IN,,013-012,2
Governor,WRITE-IN,,014-001,1
Governor,WRITE-IN,,014-002,0
Governor,WRITE-IN,,014-003,0
Governor,WRITE-IN,,014-004,2
Governor,WRITE-IN,,014-005,1
Governor,WRITE-IN,,015-001,0
Governor,WRITE-IN,,015-002,1
Governor,WRITE-IN,,015-003,1
Governor,WRITE-IN,,015-004,0
Governor,WRITE-IN,,015-005,1
Governor,WRITE-IN,,015-006,1
Governor,WRITE-IN,,015-007,1
Governor,WRITE-IN,,015-008,0
Governor,WRITE-IN,,015-009,2
Governor,WRITE-IN,,015-010,0
Governor,WRITE-IN,,015-011,1
Governor,WRITE-IN,,015-012,0
Governor,WRITE-IN,,015-013,1
Governor,WRITE-IN,,015-014,0
Governor,WRITE-IN,,015-015,0
Governor,WRITE-IN,,015-016,0
Governor,WRITE-IN,,015-017,0
Governor,WRITE-IN,,015-018,0
Governor,WRITE-IN,,015-019,0
Governor,WRITE-IN,,015-020,1
Governor,WRITE-IN,,015-021,1
Governor,WRITE-IN,,015-022,1
Governor,WRITE-IN,,015-023,0
Governor,WRITE-IN,,015-024,0
Governor,WRITE-IN,,015-025,0
Governor,WRITE-IN,,016-001,0
Governor,WRITE-IN,,016-002,0
Governor,WRITE-IN,,016-003,1
Governor,WRITE-IN,,016-004,0
Governor,WRITE-IN,,016-005,1
Governor,WRITE-IN,,016-006,1
Governor,WRITE-IN,,016-007,0
Governor,WRITE-IN,,016-008,0
Governor,WRITE-IN,,016-009,0
Governor,WRITE-IN,,016-010,0
Governor,WRITE-IN,,016-011,0
Governor,WRITE-IN,,016-012,0
Governor,WRITE-IN,,016-013,1
Governor,WRITE-IN,,016-014,1
Governor,WRITE-IN,,017-001,0
Governor,WRITE-IN,,017-002,0
Governor,WRITE-IN,,018-001,1
Governor,WRITE-IN,,018-002,0
Governor,WRITE-IN,,019-001,0
Governor,WRITE-IN,,019-002,0
Governor,WRITE-IN,,019-003,0
Governor,WRITE-IN,,020-001,0
Governor,WRITE-IN,,020-002,2
Governor,WRITE-IN,,020-003,0
Governor,WRITE-IN,,020-004,0
Governor,WRITE-IN,,020-005,0
Governor,WRITE-IN,,020-006,0
Governor,WRITE-IN,,020-007,2
Governor,WRITE-IN,,020-008,1
Governor,WRITE-IN,,020-009,0
Governor,WRITE-IN,,020-010,0
Governor,WRITE-IN,,020-011,0
Governor,WRITE-IN,,021-001,0
Governor,WRITE-IN,,021-002,1
Governor,WRITE-IN,,021-003,1
Governor,WRITE-IN,,021-004,0
Governor,WRITE-IN,,022-001,0
Governor,WRITE-IN,,022-002,0
Governor,WRITE-IN,,023-001,1
Governor,WRITE-IN,,023-002,1
Governor,WRITE-IN,,023-003,0
Governor,WRITE-IN,,024-001,2
Governor,WRITE-IN,,024-002,1
Governor,WRITE-IN,,024-003,4
Governor,WRITE-IN,,024-004,3
Governor,WRITE-IN,,024-005,5
Governor,WRITE-IN,,025-001,2
Governor,WRITE-IN,,025-002,0
Governor,WRITE-IN,,025-003,0
Governor,WRITE-IN,,025-004,1
Governor,WRITE-IN,,025-005,1
Governor,WRITE-IN,,025-006,1
Governor,WRITE-IN,,025-007,0
Governor,WRITE-IN,,025-008,0
Governor,WRITE-IN,,025-009,0
Governor,WRITE-IN,,025-010,0
Governor,WRITE-IN,,025-011,1
Governor,WRITE-IN,,025-012,0
Governor,WRITE-IN,,025-013,0
Governor,WRITE-IN,,025-014,1
Governor,WRITE-IN,,025-015,0
Governor,WRITE-IN,,025-016,2
Governor,WRITE-IN,,025-017,1
Governor,WRITE-IN,,026-001,0
Governor,WRITE-IN,,026-002,0
Governor,WRITE-IN,,026-003,1
Governor,WRITE-IN,,026-004,0
Governor,WRITE-IN,,026-005,0
Governor,WRITE-IN,,026-006,0
Governor,WRITE-IN,,026-007,0
Governor,WRITE-IN,,026-008,2
Governor,WRITE-IN,,026-009,6
Governor,WRITE-IN,,026-010,0
Governor,WRITE-IN,,026-011,1
Governor,WRITE-IN,,026-012,0
Governor,WRITE-IN,,026-013,0
Governor,WRITE-IN,,026-014,1
Governor,WRITE-IN,,026-015,1
Governor,WRITE-IN,,026-016,0
Governor,WRITE-IN,,026-017,1
Governor,WRITE-IN,,026-018,1
Governor,WRITE-IN,,026-019,2
Governor,WRITE-IN,,026-020,0
Governor,WRITE-IN,,026-021,1
Governor,WRITE-IN,,026-022,1
Governor,WRITE-IN,,026-023,0
Governor,WRITE-IN,,026-024,1
Governor,WRITE-IN,,026-025,0
Governor,WRITE-IN,,026-026,1
Governor,WRITE-IN,,026-027,3
Governor,WRITE-IN,,026-028,0
Governor,WRITE-IN,,026-029,1
Governor,WRITE-IN,,026-030,2
Governor,WRITE-IN,,026-031,0
Governor,WRITE-IN,,026-032,0
Governor,WRITE-IN,,026-033,1
Governor,WRITE-IN,,027-001,3
Governor,WRITE-IN,,027-002,0
Governor,WRITE-IN,,027-003,1
Governor,WRITE-IN,,027-004,0
Governor,WRITE-IN,,027-005,3
Governor,WRITE-IN,,027-006,1
Governor,WRITE-IN,,027-007,3
Governor,WRITE-IN,,027-008,0
Governor,WRITE-IN,,027-009,0
Governor,WRITE-IN,,027-010,0
Governor,WRITE-IN,,027-011,3
Governor,WRITE-IN,,027-012,1
Governor,WRITE-IN,,027-013,4
Governor,WRITE-IN,,027-014,1
Governor,WRITE-IN,,027-015,2
Governor,WRITE-IN,,027-016,0
Governor,WRITE-IN,,027-017,5
Governor,WRITE-IN,,027-018,0
Governor,WRITE-IN,,027-019,1
Governor,WRITE-IN,,027-020,0
Governor,WRITE-IN,,027-021,1
Governor,WRITE-IN,,027-022,0
Governor,WRITE-IN,,027-023,0
Governor,WRITE-IN,,027-024,1
Governor,WRITE-IN,,027-025,0
Governor,WRITE-IN,,027-026,0
Governor,WRITE-IN,,027-027,0
Governor,WRITE-IN,,027-028,0
Governor,WRITE-IN,,027-029,0
Governor,WRITE-IN,,027-030,1
Governor,WRITE-IN,,027-031,1
Governor,WRITE-IN,,027-032,2
Governor,WRITE-IN,,027-033,2
Governor,WRITE-IN,,027-034,0
Governor,WRITE-IN,,027-035,0
Governor,WRITE-IN,,027-036,1
Governor,WRITE-IN,,027-037,1
Governor,WRITE-IN,,027-038,0
Governor,WRITE-IN,,027-039,0
Governor,WRITE-IN,,027-040,5
Governor,WRITE-IN,,027-041,5
Governor,WRITE-IN,,027-042,2
Governor,WRITE-IN,,027-043,1
Governor,WRITE-IN,,027-044,3
Governor,WRITE-IN,,027-045,3
Governor,WRITE-IN,,027-046,0
Governor,WRITE-IN,,027-047,0
Governor,WRITE-IN,,027-048,2
Governor,WRITE-IN,,027-049,1
Governor,WRITE-IN,,027-050,2
Governor,WRITE-IN,,027-051,0
Governor,WRITE-IN,,027-052,0
Governor,WRITE-IN,,027-053,0
Governor,WRITE-IN,,027-054,0
Governor,WRITE-IN,,027-055,0
Governor,WRITE-IN,,027-056,0
Governor,WRITE-IN,,027-057,0
Governor,WRITE-IN,,027-058,0
Governor,WRITE-IN,,027-059,1
Governor,WRITE-IN,,027-060,0
Governor,WRITE-IN,,027-061,0
Governor,WRITE-IN,,027-062,1
Governor,WRITE-IN,,027-063,3
Governor,WRITE-IN,,027-064,1
Governor,WRITE-IN,,027-065,8
Governor,WRITE-IN,,027-066,3
Governor,WRITE-IN,,027-067,0
Governor,WRITE-IN,,027-069,1
Governor,WRITE-IN,,028-001,0
Governor,WRITE-IN,,028-002,0
Governor,WRITE-IN,,028-003,0
Governor,WRITE-IN,,028-004,1
Governor,WRITE-IN,,028-005,0
Governor,WRITE-IN,,028-006,1
Governor,WRITE-IN,,028-007,2
Governor,WRITE-IN,,028-008,2
Governor,WRITE-IN,,028-009,1
Governor,WRITE-IN,,028-010,1
Governor,WRITE-IN,,028-011,0
Governor,WRITE-IN,,028-012,0
Governor,WRITE-IN,,028-013,2
Governor,WRITE-IN,,028-014,0
Governor,WRITE-IN,,028-015,2
