Precinct,Adjusted_or_Unadjusted,Census_Total_Pop,Adjusted_Total_Pop,Adjusted_One_Race_Pop,Adjusted_White_Alone_Pop,Adjusted_Black_Alone_Pop,Adjusted_American_Indian_Alaskan_Native_Alone_Pop,Adjusted_Asian_Alone_Pop,Adjusted_Native_Hawaiian_Pacific_Islander_Alone_Pop,Adjusted_Other_Race_Alone_Pop,Adjusted_Multiracial_Pop,Adjusted_Hispanic_Latino_Pop,Adjusted_Total_Adult_Pop
024-001,Unadj,933,933,852,758,55,0,39,0,0,36,45,808
024-002,Unadj,1153,1153,1064,952,45,0,67,0,0,36,53,1054
024-003,Unadj,2066,2066,1910,1734,60,0,110,0,6,67,89,1910
024-004,Adj,3080,3082,2749,2538,109,2,95,0,5,155,178,2695
024-005,Adj,4888,4892,4447,3998,183,6,228,3,29,208,237,4299
025-001,Adj,4053,4097,3813,448,3224,0,111,0,30,118,166,3150
025-002,Adj,2842,2870,2711,151,2507,0,42,0,11,78,81,2183
025-003,Adj,2905,2918,2546,1727,710,10,89,1,9,154,218,2389
025-004,Adj,4275,4313,3451,2207,1064,13,134,1,32,206,656,3385
025-005,Adj,4983,5024,2738,612,1967,6,129,0,24,156,2130,3520
025-006,Adj,1439,1464,1320,52,1246,3,7,0,12,61,83,1010
025-007,Adj,585,603,570,70,484,6,4,0,6,22,11,453
025-008,Adj,4014,4076,3754,137,3565,4,29,0,19,142,180,2744
025-009,Adj,1673,1709,1643,11,1628,1,0,1,2,40,26,1067
025-010,Adj,1833,1868,1714,65,1620,7,18,0,4,55,99,1408
025-011,Adj,1514,1533,776,429,256,12,73,1,5,41,716,1093
025-012,Adj,2973,3002,1828,971,786,10,44,0,17,179,995,2085
025-013,Adj,1552,1576,1116,587,485,4,28,0,12,99,361,1120
025-014,Adj,2271,2304,1765,332,1404,9,10,0,10,112,427,1462
025-015,Adj,2375,2405,1954,675,1244,1,24,0,10,133,318,1789
025-016,Adj,2794,2823,2167,1328,754,11,42,4,28,215,441,2133
025-017,Adj,669,671,579,236,316,0,23,1,3,38,54,584
025-018,Unadj,532,532,484,167,306,0,8,0,3,26,22,469
026-001,Adj,668,675,466,338,107,7,12,0,2,34,175,512
026-002,Adj,3568,3603,1999,700,1205,17,47,2,28,121,1483,2578
026-003,Adj,2839,2860,1449,997,395,15,28,0,14,76,1335,2142
026-004,Adj,2660,2672,1177,792,284,4,78,0,19,47,1448,1925
026-005,Adj,1203,1210,652,436,157,4,48,0,7,33,525,940
026-006,Adj,1999,2004,893,745,99,1,36,0,12,62,1049,1448
026-007,Adj,2865,2873,1685,1277,256,6,137,1,8,99,1089,2252
026-008,Adj,1946,1947,1804,1491,124,5,174,0,10,52,91,1812
026-009,Adj,3701,3705,3222,2908,134,17,154,1,8,155,328,3284
026-010,Adj,4727,4757,2160,1312,688,21,126,0,13,105,2492,3562
026-011,Adj,2638,2660,1034,653,304,16,43,0,18,90,1536,1925
026-012,Adj,1179,1197,637,83,490,6,54,0,4,36,524,871
026-013,Adj,1795,1799,986,865,95,2,12,1,11,67,746,1299
026-014,Adj,2365,2380,1043,772,208,8,37,0,18,98,1239,1666
026-015,Adj,2473,2499,2347,88,2191,9,45,0,14,67,85,1862
026-016,Adj,1717,1744,1673,33,1613,1,17,0,9,43,28,1230
026-017,Adj,1038,1050,977,44,926,3,2,1,1,37,36,744
026-018,Adj,1419,1442,1383,51,1316,7,0,0,9,31,28,1121
026-019,Adj,1814,1843,1762,49,1690,7,3,0,13,43,38,1430
026-020,Adj,1053,1067,1008,45,956,0,3,2,2,32,27,802
026-021,Adj,1332,1354,1266,52,1198,4,7,1,4,48,40,983
026-022,Adj,1064,1074,1011,50,943,5,13,0,0,29,34,798
026-023,Adj,1717,1734,1670,108,1552,1,1,0,8,28,36,1326
026-030,Adj,1251,1261,1183,289,880,2,7,0,5,26,52,1024
026-031,Adj,1151,1156,1013,398,576,4,33,1,1,89,54,868
026-032,Adj,2215,2257,2163,110,2040,1,2,0,10,56,38,1740
026-033,Adj,2014,2047,1973,93,1870,5,3,0,2,45,29,1626
027-001,Adj,2891,2911,2674,579,2036,10,22,0,27,123,114,2291
027-002,Unadj,662,662,576,410,155,1,10,0,0,41,45,538
027-003,Adj,804,805,730,323,387,4,13,0,3,39,36,644
027-004,Adj,686,691,627,291,308,1,22,0,5,33,31,558
