Legislative,Precinct,Adjusted_or_Unadjusted,Census_Total_Pop,Adjusted_Total_Pop,Census_Total_Adult_Pop,Adjusted_Total_Adult_Pop,Adjusted_One_Race_Adult_Pop,Adjusted_White_Alone_Adult_Pop,Adjusted_Black_Alone_Adult_Pop,Adjusted_American_Indian_Alaskan_Native_Alone_Adult_Pop,Adjusted_Asian_Alone_Adult_Pop,Adjusted_Native_Hawaiian_Pacific_Islander_Alone_Adult_Pop,Adjusted_Other_Race_Alone_Adult_Pop,Adjusted_Multiracial_Adult_Pop,Adjusted_Hispanic_Latino_Adult_Pop
44,020-001,Adj,1791,1840,1393,1442,1403,27,1368,0,4,0,4,31,8
44,020-002,Adj,916,945,713,742,669,40,618,3,1,0,7,47,26
44,020-003,Adj,2100,2150,1628,1677,1599,59,1523,4,5,2,6,39,39
44,020-004,Adj,236,244,183,191,188,0,188,0,0,0,0,3,0
41,020-005,Adj,1241,1261,932,952,873,27,834,2,6,0,4,32,47
41,020-006,Adj,3354,3421,2636,2700,2640,30,2591,8,3,1,7,42,18
41,020-007,Adj,2712,2759,2137,2184,2070,105,1929,6,24,0,6,57,57
44,020-008,Adj,869,889,684,704,660,78,573,2,7,0,0,25,19
44,020-009,Adj,1018,1034,788,803,690,351,316,3,19,0,1,40,73
40,020-010,Adj,902,913,666,677,604,168,410,2,24,0,0,28,45
40,020-011,Adj,2126,2181,1510,1564,1393,380,975,8,19,0,11,64,107
40,020-012,Unadj,0,0,0,0,0,0,0,0,0,0,0,0,0
40,021-001,Adj,1148,1149,1053,1054,958,610,177,0,161,0,10,40,56
40,021-002,Adj,1916,1925,1654,1663,1493,559,764,9,148,2,11,66,104
40,021-003,Adj,2566,2607,2030,2071,1872,629,1100,0,133,0,10,102,97
46,021-004,Adj,717,725,628,636,595,235,334,5,19,0,2,21,20
46,021-005,Unadj,11,11,10,10,6,6,0,0,0,0,0,0,4
46,022-001,Adj,2022,2026,1964,1968,1821,1284,387,1,141,0,8,64,83
46,022-002,Adj,1827,1828,1627,1628,1450,1263,88,0,90,0,9,77,101
46,023-001,Adj,1758,1759,1603,1604,1442,1298,82,0,47,1,14,78,84
46,023-002,Adj,1737,1745,1509,1517,1412,906,436,0,68,0,2,50,55
46,023-003,Adj,2709,2714,2534,2539,2342,2078,151,5,98,1,9,84,113
46,024-001,Unadj,933,933,808,808,761,679,49,0,33,0,0,24,23
46,024-002,Unadj,1153,1153,1054,1054,980,886,35,0,59,0,0,29,45
46,024-003,Unadj,2066,2066,1910,1910,1782,1612,56,0,109,0,5,56,72
46,024-004,Adj,3080,3082,2693,2695,2447,2259,98,1,85,0,4,112,136
46,024-005,Adj,4888,4892,4295,4299,3975,3572,161,5,211,3,23,134,190
44,025-001,Adj,4053,4097,3106,3150,2953,369,2473,0,86,0,25,93,104
44,025-002,Adj,2842,2870,2156,2183,2079,131,1916,0,21,0,11,43,61
40,025-003,Adj,2905,2918,2376,2389,2146,1526,539,6,67,0,8,98,145
40,025-004,Adj,4275,4313,3347,3385,2810,1885,779,10,117,1,18,135,440
46,025-005,Adj,4983,5024,3481,3520,2116,515,1460,6,118,0,17,103,1301
46,025-006,Adj,1439,1464,985,1010,922,43,865,3,6,0,5,34,54
46,025-007,Adj,585,603,436,453,434,55,367,6,3,0,3,12,7
46,025-008,Adj,4014,4076,2683,2744,2528,120,2370,0,23,0,15,88,128
46,025-009,Adj,1673,1709,1031,1067,1031,11,1017,0,0,1,2,26,10
46,025-010,Adj,1833,1868,1374,1408,1309,46,1239,6,14,0,4,40,59
46,025-011,Adj,1514,1533,1074,1093,631,370,194,6,58,0,3,21,441
46,025-012,Adj,2973,3002,2058,2085,1407,780,572,10,35,0,10,92,586
46,025-013,Adj,1552,1576,1096,1120,825,458,339,3,21,0,4,65,230
46,025-014,Adj,2271,2304,1429,1462,1147,260,863,9,9,0,6,65,250
46,025-015,Adj,2375,2405,1760,1789,1509,567,915,1,19,0,7,86,194
46,025-016,Adj,2794,2823,2104,2133,1748,1111,574,9,39,0,15,113,272
40,025-017,Adj,669,671,583,584,517,209,286,0,18,1,3,27,40
40,025-018,Unadj,532,532,469,469,431,155,268,0,5,0,3,23,15
46,026-001,Adj,668,675,505,512,370,277,74,7,10,0,2,28,114
46,026-002,Adj,3568,3603,2544,2578,1515,619,824,17,39,2,14,80,983
46,026-003,Adj,2839,2860,2121,2142,1230,894,292,13,26,0,5,54,858
46,026-004,Adj,2660,2672,1913,1925,999,711,215,4,61,0,8,24,902
46,026-005,Adj,1203,1210,933,940,570,387,135,1,44,0,3,23,347
46,026-006,Adj,1999,2004,1444,1448,776,673,74,0,24,0,5,39,633
46,026-007,Adj,2865,2873,2244,2252,1474,1125,212,6,126,1,4,71,707
46,026-008,Adj,1946,1947,1811,1812,1694,1408,111,4,164,0,7,46,72
46,026-009,Adj,3701,3705,3280,3284,2930,2664,104,15,140,1,6,111,243
46,026-010,Adj,4727,4757,3532,3562,1858,1185,534,19,108,0,12,67,1637
