"","PRECINCT","0","1","<NA>","16-17","18-24","25-34","35-44","45-54","55-64","65+"
"246",27034,602,384,3,NA,75,165,155,155,211,228
"247",27035,954,535,NA,NA,99,231,240,222,299,398
"248",27036,262,160,2,NA,36,57,64,55,94,118
"249",27037,745,572,1,NA,98,166,225,244,261,324
"250",27038,15,24,NA,NA,5,5,1,5,6,17
"251",27039,187,166,NA,NA,33,45,57,68,78,72
"252",27040,931,835,2,NA,126,189,356,349,330,418
"253",27041,516,434,2,NA,61,122,194,187,174,214
"254",27042,694,645,1,NA,112,147,182,244,229,426
"255",27043,458,234,1,NA,19,40,51,49,118,416
"256",27044,521,469,1,NA,87,101,173,206,192,232
"257",27045,765,621,NA,1,116,126,216,284,269,374
"258",27046,345,267,NA,NA,44,54,104,111,93,206
"259",27047,478,366,4,NA,54,215,202,121,115,141
"260",27048,419,275,NA,NA,35,93,81,100,110,275
"261",27049,1362,1017,5,NA,160,284,400,396,386,758
"262",27050,524,406,1,NA,68,125,177,197,140,224
"263",27051,80,54,NA,NA,3,5,4,11,29,82
"264",27052,845,432,NA,NA,107,161,188,190,270,361
"265",27053,447,245,1,NA,55,95,101,113,150,179
"266",27054,210,136,1,NA,21,48,58,47,68,105
"267",27055,99,62,NA,NA,12,22,18,32,35,42
"268",27056,268,147,NA,NA,32,65,58,67,76,117
"269",27057,588,346,5,NA,54,106,115,135,204,325
"270",27058,183,95,1,NA,14,35,36,45,66,83
"271",27059,271,187,1,NA,37,49,63,69,101,140
"272",27060,593,358,3,NA,70,107,121,145,191,320
"273",27061,257,187,NA,NA,39,61,59,53,108,124
"274",27062,722,495,2,NA,70,165,129,123,209,523
"275",27063,698,487,1,NA,121,162,155,186,228,334
"276",27064,659,569,2,NA,147,234,183,213,186,267
"277",27065,1124,761,2,NA,179,340,204,179,275,710
"278",27066,887,698,9,NA,181,229,210,184,281,509
"279",27067,708,472,1,NA,100,184,183,132,235,347
"280",27069,48,48,NA,NA,8,4,14,25,12,33
"281",28001,455,291,1,NA,44,103,78,121,191,210
"282",28002,804,453,1,NA,72,140,140,171,267,468
"283",28003,137,109,NA,NA,13,27,34,41,64,67
"284",28004,239,146,NA,NA,30,47,43,67,84,114
