County,County Name,Precinct,Congressional,Legislative,Office Name,Early Votes For,Early Votes Against,Election Night Votes For,Election Night Votes Against,Mail-In Ballot 1 Votes For,Mail-In Ballot 1 Votes Against,Provisional Votes For,Provisional Votes Against,Mail-In Ballot 2 Votes For,Mail-In Ballot 2 Votes Against,Early Votes,Election Night Votes,Mail-In Ballot 1 Votes,Provisional Votes,Mail-In Ballot 2 Votes
03,Baltimore City,004-002,07,40,Governor / Lt. Governor,56,NA,332,NA,103,NA,126,NA,79,NA,56,332,103,126,79
03,Baltimore City,004-002,07,40,House of Delegates,147,NA,783,NA,249,NA,145,NA,194,NA,147,783,249,145,194
03,Baltimore City,004-002,07,40,Judge Circuit Court,164,NA,750,NA,220,NA,167,NA,181,NA,164,750,220,167,181
03,Baltimore City,004-002,07,40,Judge Orphans' Court,138,NA,704,NA,209,NA,187,NA,179,NA,138,704,209,187,179
03,Baltimore City,004-002,07,40,Judge Spec Appeal at Lg,79,26,388,136,132,29,101,35,87,21,105,524,161,136,108
03,Baltimore City,004-002,07,40,Register of Wills,50,NA,284,NA,83,NA,82,NA,69,NA,50,284,83,82,69
03,Baltimore City,004-002,07,40,Sheriff,51,NA,275,NA,88,NA,79,NA,69,NA,51,275,88,79,69
03,Baltimore City,004-002,07,40,State Senator,56,NA,327,NA,100,NA,68,NA,77,NA,56,327,100,68,77
03,Baltimore City,004-002,07,40,State's Attorney,52,NA,308,NA,93,NA,83,NA,73,NA,52,308,93,83,73
03,Baltimore City,004-002,07,40,U.S. Congress,57,NA,331,NA,103,NA,124,NA,76,NA,57,331,103,124,76
03,Baltimore City,004-002,07,40,U.S. Senator,58,NA,331,NA,105,NA,125,NA,78,NA,58,331,105,125,78
03,Baltimore City,004-003,07,40,Attorney General,17,NA,56,NA,34,NA,12,NA,14,NA,17,56,34,12,14
03,Baltimore City,004-003,07,40,Board of Ed at Large,31,NA,89,NA,50,NA,13,NA,22,NA,31,89,50,13,22
03,Baltimore City,004-003,07,40,Clerk Circuit Court,16,NA,53,NA,33,NA,9,NA,11,NA,16,53,33,9,11
03,Baltimore City,004-003,07,40,Comptroller,16,NA,55,NA,33,NA,12,NA,13,NA,16,55,33,12,13
03,Baltimore City,004-003,07,40,Governor / Lt. Governor,17,NA,59,NA,35,NA,11,NA,14,NA,17,59,35,11,14
03,Baltimore City,004-003,07,40,House of Delegates,44,NA,143,NA,88,NA,17,NA,39,NA,44,143,88,17,39
03,Baltimore City,004-003,07,40,Judge Circuit Court,49,NA,154,NA,83,NA,13,NA,37,NA,49,154,83,13,37
03,Baltimore City,004-003,07,40,Judge Orphans' Court,41,NA,131,NA,77,NA,18,NA,30,NA,41,131,77,18,30
03,Baltimore City,004-003,07,40,Judge Spec Appeal at Lg,24,8,79,24,51,9,11,6,18,3,32,103,60,17,21
03,Baltimore City,004-003,07,40,Register of Wills,16,NA,55,NA,31,NA,9,NA,12,NA,16,55,31,9,12
03,Baltimore City,004-003,07,40,Sheriff,16,NA,49,NA,30,NA,10,NA,12,NA,16,49,30,10,12
03,Baltimore City,004-003,07,40,State Senator,17,NA,58,NA,34,NA,10,NA,14,NA,17,58,34,10,14
03,Baltimore City,004-003,07,40,State's Attorney,17,NA,54,NA,34,NA,10,NA,12,NA,17,54,34,10,12
03,Baltimore City,004-003,07,40,U.S. Congress,17,NA,58,NA,34,NA,12,NA,13,NA,17,58,34,12,13
03,Baltimore City,004-003,07,40,U.S. Senator,17,NA,58,NA,33,NA,12,NA,13,NA,17,58,33,12,13
03,Baltimore City,005-001,07,46,Attorney General,15,NA,109,NA,52,NA,18,NA,10,NA,15,109,52,18,10
03,Baltimore City,005-001,07,46,Board of Ed at Large,24,NA,161,NA,70,NA,15,NA,21,NA,24,161,70,15,21
03,Baltimore City,005-001,07,46,Clerk Circuit Court,14,NA,100,NA,46,NA,12,NA,11,NA,14,100,46,12,11
03,Baltimore City,005-001,07,46,Comptroller,15,NA,108,NA,51,NA,17,NA,12,NA,15,108,51,17,12
03,Baltimore City,005-001,07,46,Governor / Lt. Governor,15,NA,107,NA,51,NA,16,NA,12,NA,15,107,51,16,12
03,Baltimore City,005-001,07,46,House of Delegates,39,NA,254,NA,110,NA,15,NA,29,NA,39,254,110,15,29
03,Baltimore City,005-001,07,46,Judge Circuit Court,32,NA,263,NA,110,NA,17,NA,32,NA,32,263,110,17,32
03,Baltimore City,005-001,07,46,Judge Orphans' Court,31,NA,252,NA,91,NA,21,NA,30,NA,31,252,91,21,30
03,Baltimore City,005-001,07,46,Judge Spec Appeal at Lg,20,4,139,54,68,20,13,8,15,5,24,193,88,21,20
03,Baltimore City,005-001,07,46,Register of Wills,14,NA,101,NA,48,NA,12,NA,11,NA,14,101,48,12,11
03,Baltimore City,005-001,07,46,Sheriff,16,NA,102,NA,41,NA,11,NA,10,NA,16,102,41,11,10
