County,County Name,Precinct,Congressional,Legislative,Office Name,Candidate Name,Party,Winner,Write-In?,Early Votes for Candidate,Early Votes Against,Election Night Votes for Candidate,Election Night Votes Against,Mail-In Ballot 1 Votes for Candidate,Mail-In Ballot 1 Votes Against,Provisional Votes for Candidate,Provisional Votes Against,Mail-In Ballot 2 Votes for Candidate,Mail-In Ballot 2 Votes Against,Total Votes For Candidate,Total Votes Against,Total Votes Cast
03,Baltimore City,001-002,07,46,Governor / Lt. Governor,Nancy Wallace and Patrick Elder,GRN,NA,NA,0,NA,2,NA,1,NA,1,NA,0,NA,4,0,4
03,Baltimore City,001-002,07,46,Governor / Lt. Governor,David Harding and Cathy White,WCP,NA,NA,1,NA,5,NA,2,NA,0,NA,3,NA,11,0,11
03,Baltimore City,001-002,07,46,Governor / Lt. Governor,Kyle Sefcik and Katie Lee,UNA,NA,Y,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0
03,Baltimore City,001-002,07,46,Governor / Lt. Governor,Other Write-Ins,NA,NA,Y,0,NA,2,NA,0,NA,1,NA,1,NA,4,0,4
03,Baltimore City,001-002,07,46,Comptroller,Barry Glassman,REP,NA,NA,15,NA,91,NA,18,NA,6,NA,9,NA,139,0,139
03,Baltimore City,001-002,07,46,Comptroller,Brooke Elizabeth Lierman,DEM,Y,NA,117,NA,396,NA,136,NA,75,NA,93,NA,817,0,817
03,Baltimore City,001-002,07,46,Comptroller,Other Write-Ins,NA,NA,Y,0,NA,1,NA,0,NA,1,NA,0,NA,2,0,2
03,Baltimore City,001-002,07,46,Attorney General,Michael Anthony Peroutka,REP,NA,NA,16,NA,81,NA,14,NA,6,NA,6,NA,123,0,123
03,Baltimore City,001-002,07,46,Attorney General,Anthony G. Brown,DEM,Y,NA,115,NA,402,NA,139,NA,74,NA,96,NA,826,0,826
03,Baltimore City,001-002,07,46,Attorney General,Other Write-Ins,NA,NA,Y,0,NA,1,NA,0,NA,1,NA,0,NA,2,0,2
03,Baltimore City,001-002,07,46,U.S. Senator,Chris Chaffee,REP,NA,NA,11,NA,68,NA,5,NA,5,NA,2,NA,91,0,91
03,Baltimore City,001-002,07,46,U.S. Senator,Chris Van Hollen,DEM,Y,NA,121,NA,413,NA,148,NA,77,NA,99,NA,858,0,858
03,Baltimore City,001-002,07,46,U.S. Senator,Scottie Griffin,DEM,NA,Y,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0
03,Baltimore City,001-002,07,46,U.S. Senator,Andrew J. Wildman,UNA,NA,Y,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0
03,Baltimore City,001-002,07,46,U.S. Senator,Other Write-Ins,NA,NA,Y,0,NA,2,NA,0,NA,0,NA,2,NA,4,0,4
03,Baltimore City,001-002,07,46,U.S. Congress,Scott M. Collier,REP,NA,NA,13,NA,84,NA,11,NA,7,NA,3,NA,118,0,118
03,Baltimore City,001-002,07,46,U.S. Congress,Kweisi Mfume,DEM,Y,NA,117,NA,395,NA,140,NA,72,NA,96,NA,820,0,820
03,Baltimore City,001-002,07,46,U.S. Congress,Other Write-Ins,NA,NA,Y,0,NA,0,NA,0,NA,1,NA,2,NA,3,0,3
03,Baltimore City,001-002,07,46,State Senator,Emmanuel Digman,REP,NA,NA,12,NA,66,NA,11,NA,5,NA,1,NA,95,0,95
