County,County Name,Precinct,Congressional,Early Votes,Election Night Votes,Mail-In Ballot 1 Votes,Provisional Votes,Mail-In Ballot 2 Votes,Adjusted_Total_Pop,Adjusted_Total_Adult_Pop,Adjusted_Hispanic_Latino_Adult_Pop,Legislative,REGISTERED VOTERS - TOTAL,BALLOTS CAST - TOTAL,BALLOTS CAST - BLANK,Councilmanic,Voted_Female,Voted_Male,Voted_UnknownSex,Voted_16to17,Voted_18to24,Voted_25to34,Voted_35to44,Voted_45to54,Voted_55to64,Voted_65plus
03,Baltimore City,015-005,07,262,603,306,52,92,NA,NA,NA,40,1178,546,39,007,326,180,NA,0,17,43,69,78,114,185
03,Baltimore City,015-006,07,310,677,269,54,67,NA,NA,NA,40,1678,576,19,007,351,201,1,0,26,29,87,74,113,224
03,Baltimore City,015-007,07,168,592,219,51,50,1935,1538,38,41,1366,427,6,007,246,147,NA,0,19,39,45,54,113,123
03,Baltimore City,015-008,07,175,411,217,14,70,877,710,14,41,691,333,11,006,193,127,1,0,10,24,34,48,74,131
03,Baltimore City,015-009,07,393,825,420,90,113,3513,2752,48,41,2529,789,30,006,445,264,1,0,17,56,98,92,159,288
03,Baltimore City,015-010,07,237,692,226,34,90,1875,1537,32,41,1312,513,10,006,299,201,NA,0,15,45,60,80,112,188
03,Baltimore City,015-011,07,234,379,228,20,34,1831,1449,27,41,1207,354,16,007,198,130,NA,0,9,34,41,53,77,114
03,Baltimore City,015-012,07,19,68,21,14,2,387,302,5,40,252,49,6,007,27,12,NA,0,3,3,2,4,14,13
03,Baltimore City,015-013,07,58,148,135,18,31,936,733,4,40,686,163,20,007,100,55,NA,0,5,16,15,20,45,54
03,Baltimore City,015-014,07,169,458,292,26,37,1690,1330,10,40,1275,402,10,007,274,123,NA,0,9,33,45,57,94,159
03,Baltimore City,015-015,07,64,181,78,90,9,911,677,8,40,708,191,3,007,87,50,2,0,3,13,13,17,50,43
03,Baltimore City,015-016,07,58,208,83,4,25,915,706,2,40,686,166,6,007,100,58,NA,0,7,6,23,19,46,57
03,Baltimore City,015-017,07,89,467,122,35,36,1791,1407,9,40,1428,303,13,007,187,96,1,0,9,22,26,49,77,101
03,Baltimore City,015-018,07,217,473,219,63,41,3287,2496,46,40,2389,451,14,007,269,136,NA,0,6,34,44,68,109,144
03,Baltimore City,015-019,07,4,22,9,46,2,96,72,5,40,64,37,6,007,11,7,NA,0,NA,NA,3,2,2,11
03,Baltimore City,015-020,07,199,497,361,20,69,3296,2776,71,40,2124,487,27,007,313,159,NA,0,12,31,47,54,109,219
03,Baltimore City,015-021,07,151,296,314,17,65,1481,1211,18,40,1067,325,16,007,204,105,NA,0,9,19,20,47,62,152
03,Baltimore City,015-022,07,96,398,122,42,46,1225,924,14,40,1206,297,14,006,175,109,NA,0,5,17,25,33,77,127
03,Baltimore City,015-023,07,165,355,244,22,62,2381,1943,33,40,1564,356,16,006,226,125,1,0,8,24,47,58,92,123
03,Baltimore City,015-024,07,277,397,245,49,57,2417,1837,30,40,1717,442,20,006,271,137,NA,0,7,29,46,51,100,175
03,Baltimore City,015-025,07,106,79,88,43,22,1019,881,34,40,754,140,7,006,79,47,NA,0,NA,7,11,17,35,56
03,Baltimore City,016-001,07,64,173,85,14,12,989,745,20,40,663,138,1,009,71,59,NA,0,6,11,15,18,40,40
03,Baltimore City,016-002,07,103,285,174,11,44,1593,1316,30,40,1066,249,4,009,128,115,NA,0,3,15,19,33,63,110
03,Baltimore City,016-003,07,85,157,73,2,10,1001,805,19,40,721,137,6,009,79,59,NA,0,1,7,10,16,35,69
03,Baltimore City,016-004,07,47,68,48,12,2,662,510,11,40,459,81,3,009,50,30,NA,0,2,7,9,14,20,28
03,Baltimore City,016-005,07,177,427,247,32,57,2073,1686,15,40,1496,406,11,009,239,141,NA,0,11,20,40,53,118,138
03,Baltimore City,016-006,07,221,373,273,70,43,2124,1702,28,40,1462,410,14,009,236,129,1,0,10,21,40,42,96,157
03,Baltimore City,016-007,07,199,334,248,11,74,1662,1264,24,40,1284,359,15,009,227,130,NA,0,11,31,38,36,102,139
03,Baltimore City,016-008,07,124,212,121,16,34,1000,775,11,40,796,216,18,009,124,75,NA,0,3,13,19,20,53,91
03,Baltimore City,016-009,07,111,288,145,26,64,1642,1276,13,40,1269,284,19,009,156,101,1,0,9,20,26,30,72,101
03,Baltimore City,016-010,07,101,221,90,6,10,1099,837,12,40,796,188,14,009,116,61,NA,0,3,12,27,17,42,76
03,Baltimore City,016-011,07,63,238,57,38,7,1001,788,20,40,606,152,14,009,86,50,1,0,3,7,14,18,45,50
03,Baltimore City,016-012,07,187,446,172,29,39,2313,1693,28,40,1381,355,17,009,234,114,NA,0,14,32,42,60,72,128
03,Baltimore City,016-013,07,283,382,214,23,34,2051,1537,25,41,1490,377,20,008,245,112,NA,0,11,33,42,42,94,135
03,Baltimore City,016-014,07,625,770,464,93,99,3691,2910,45,41,2777,826,49,008,519,274,3,0,25,59,111,115,178,308
03,Baltimore City,017-001,07,15,54,19,5,4,268,210,6,40,180,38,1,011,26,14,1,0,1,5,5,2,9,19
03,Baltimore City,017-002,07,215,682,442,73,126,3984,3103,87,40,2668,683,45,011,368,246,5,0,17,80,86,92,151,193
03,Baltimore City,018-001,07,136,248,101,26,28,1743,1209,14,40,979,210,8,009,134,66,1,0,4,18,21,36,73,49
03,Baltimore City,018-002,07,178,502,227,27,94,2310,1877,118,40,1687,446,10,009,219,200,1,0,12,98,88,58,83,81
03,Baltimore City,019-001,07,56,306,111,34,45,1661,1294,55,40,1112,237,11,009,132,85,NA,0,8,14,32,36,56,71
03,Baltimore City,019-002,07,121,137,164,5,103,3332,2497,299,40,1831,232,4,009,201,174,2,0,9,58,74,69,82,85
03,Baltimore City,019-003,07,15,17,26,6,10,294,254,6,40,189,29,0,009,25,19,NA,0,NA,2,4,2,9,27
03,Baltimore City,020-001,07,165,389,150,46,21,1840,1442,8,40,1377,322,18,009,181,117,1,0,6,25,32,39,84,113
03,Baltimore City,020-002,07,59,494,92,51,36,945,742,26,40,586,324,17,009,68,49,NA,0,NA,3,17,18,33,46
03,Baltimore City,020-003,07,138,333,251,29,41,2150,1677,39,40,1554,325,27,009,207,110,1,0,4,20,30,29,81,154
03,Baltimore City,020-004,07,26,56,48,4,6,244,191,0,40,200,53,3,009,27,24,NA,0,1,4,5,7,12,22
03,Baltimore City,020-005,07,159,277,120,30,35,1261,952,47,40,939,243,6,009,138,78,1,0,10,15,21,38,54,79
03,Baltimore City,020-006,07,558,665,535,16,119,3421,2700,18,41,2839,814,66,008,536,262,NA,0,16,52,77,83,215,355
03,Baltimore City,020-007,07,376,408,303,65,74,2759,2184,57,41,1914,518,61,008,296,170,NA,0,9,39,48,64,124,182
03,Baltimore City,020-008,07,102,125,108,8,44,889,704,19,41,630,162,5,008,100,57,NA,0,5,13,13,24,45,57
03,Baltimore City,020-009,07,41,151,50,11,45,1034,803,73,40,617,133,2,010,68,55,NA,0,1,14,20,16,25,47
03,Baltimore City,020-010,07,31,100,30,8,9,913,677,45,40,496,75,8,009,46,24,NA,0,3,4,6,6,18,33
03,Baltimore City,020-011,07,14,270,70,44,13,2181,1564,107,40,1202,177,6,009,75,76,NA,0,4,9,20,30,40,48
03,Baltimore City,021-001,07,100,434,169,44,124,1149,1054,56,46,822,344,10,011,171,149,3,0,32,140,72,27,29,23
03,Baltimore City,021-002,07,185,764,250,57,158,1925,1663,104,40,1425,590,24,010,287,276,3,0,20,170,123,52,84,117
03,Baltimore City,021-003,07,173,802,155,90,91,2607,2071,97,40,1932,571,16,010,274,242,2,0,20,146,120,74,93,65
03,Baltimore City,021-004,07,28,231,55,22,30,725,636,20,46,332,146,1,010,63,64,NA,0,3,42,41,10,14,17
03,Baltimore City,022-001,07,124,702,430,120,155,2026,1968,83,46,1321,647,34,011,322,256,2,0,16,114,56,29,58,307
03,Baltimore City,022-002,07,147,1108,623,99,285,1828,1628,101,46,1477,910,35,011,415,420,3,0,31,174,169,80,144,240
03,Baltimore City,023-001,07,102,908,180,211,204,NA,NA,NA,46,1379,644,16,011,251,282,3,0,53,240,81,78,35,49
03,Baltimore City,023-002,07,56,658,149,62,170,NA,NA,NA,46,1171,458,14,011,226,202,3,0,55,181,76,42,44,33
03,Baltimore City,023-003,07,128,1284,385,154,277,2714,2539,113,46,2157,961,17,011,413,419,4,0,75,405,155,56,73,72
03,Baltimore City,024-001,07,72,523,188,50,135,933,808,23,46,664,391,6,011,171,184,1,0,17,87,53,33,67,99
03,Baltimore City,024-002,07,54,607,194,103,160,1153,1054,45,46,826,457,12,011,196,201,2,0,34,158,86,41,44,36
03,Baltimore City,024-003,07,142,1248,621,98,288,2066,1910,72,46,1683,986,20,011,511,443,1,0,24,262,182,136,161,190
03,Baltimore City,024-004,07,176,1698,589,92,529,3082,2695,136,46,2422,1284,36,011,653,617,5,0,54,522,329,138,107,125
03,Baltimore City,024-005,07,277,2578,1283,281,702,4892,4299,190,46,3724,2176,65,011,1024,986,7,0,65,674,531,279,224,244
03,Baltimore City,025-001,07,557,994,610,109,179,4097,3150,104,41,2738,1047,43,008,634,350,2,0,38,106,152,142,232,316
03,Baltimore City,025-002,07,399,454,305,39,91,2870,2183,61,41,1893,541,21,008,355,168,2,0,22,42,77,94,119,171
03,Baltimore City,025-003,07,36,423,146,32,65,2918,2389,145,40,872,360,10,010,195,139,NA,0,13,54,53,62,67,85
03,Baltimore City,025-004,07,96,624,288,35,80,4313,3385,440,40,2287,562,25,010,297,250,1,0,22,45,81,89,132,179
03,Baltimore City,025-005,07,119,653,203,34,69,5024,3520,1301,46,1793,441,14,010,247,171,2,0,19,38,44,63,104,152
03,Baltimore City,025-006,07,91,290,130,16,13,1464,1010,54,46,877,234,16,010,145,71,NA,0,4,22,25,32,59,74
03,Baltimore City,025-007,07,22,142,39,0,14,603,453,7,46,400,90,3,010,55,34,NA,0,4,12,13,9,34,17
03,Baltimore City,025-008,07,169,449,162,31,45,4076,2744,128,46,2111,372,20,010,240,111,2,0,19,45,51,46,90,102
03,Baltimore City,025-009,07,92,290,134,19,44,1709,1067,10,46,1146,247,19,010,169,63,1,0,4,17,30,24,54,104
03,Baltimore City,025-010,07,171,365,103,23,31,1868,1408,59,46,1199,293,28,010,186,102,2,0,15,20,37,44,78,96
03,Baltimore City,025-011,07,17,178,88,10,15,1533,1093,441,46,597,150,9,010,82,68,NA,0,4,11,13,25,41,56
03,Baltimore City,025-012,07,58,287,103,22,11,3002,2085,586,46,1164,230,14,010,125,97,1,0,11,18,33,43,59,59
03,Baltimore City,025-013,07,24,189,50,9,15,1576,1120,230,46,724,123,2,010,65,59,NA,0,4,13,25,21,29,32
03,Baltimore City,025-014,07,21,211,58,12,29,2304,1462,250,46,1034,144,7,010,86,51,NA,0,4,19,26,33,27,28
03,Baltimore City,025-015,07,11,310,66,42,20,2405,1789,194,46,1059,203,12,010,96,74,2,0,9,18,29,24,51,41
03,Baltimore City,025-016,07,18,424,129,6,43,2823,2133,272,46,1448,285,18,010,156,123,1,0,5,21,41,51,79,83
03,Baltimore City,025-017,07,60,436,207,26,85,671,584,40,41,1398,404,20,010,235,164,1,0,11,37,74,49,71,158
03,Baltimore City,026-001,07,5,122,13,1,10,675,512,114,46,296,66,5,001,30,30,NA,0,NA,12,8,4,16,20
03,Baltimore City,026-002,07,75,417,103,23,57,3603,2578,983,46,1510,296,9,001,163,124,1,0,9,36,40,33,83,87
03,Baltimore City,026-003,07,78,397,157,14,52,2860,2142,858,46,1196,331,8,001,176,146,NA,0,15,23,27,25,81,151
03,Baltimore City,026-004,07,68,199,126,37,32,2672,1925,902,46,808,220,28,001,106,81,NA,0,3,15,24,22,40,83
03,Baltimore City,026-005,07,30,230,61,13,41,1210,940,347,46,437,161,12,001,86,67,NA,0,7,26,17,19,29,55
03,Baltimore City,026-006,07,54,301,84,57,19,2004,1448,633,46,873,246,34,001,116,108,NA,0,12,36,33,32,48,63
03,Baltimore City,026-007,07,164,592,177,47,135,2873,2252,707,46,1394,481,28,001,243,209,1,0,12,184,135,40,40,42
03,Baltimore City,026-008,07,197,931,271,128,174,1947,1812,72,46,1563,720,22,001,376,275,1,0,18,318,126,65,54,71
03,Baltimore City,026-009,07,707,1645,710,214,412,3705,3284,243,46,2994,1570,36,001,747,687,6,0,41,590,394,146,119,150
03,Baltimore City,026-010,07,321,891,348,99,254,4757,3562,1637,46,1971,823,25,001,411,337,1,0,17,280,204,81,77,90
03,Baltimore City,026-011,07,168,210,92,12,51,2660,1925,978,46,861,218,13,002,113,122,NA,0,10,48,52,22,37,66
03,Baltimore City,026-012,07,19,80,50,3,2,1197,871,324,46,423,69,11,013,40,17,NA,0,4,6,4,10,13,20
03,Baltimore City,026-013,07,37,190,61,6,24,1799,1299,437,45,775,176,9,013,91,82,NA,0,4,14,21,25,40,69
03,Baltimore City,026-014,07,15,195,83,18,17,2380,1666,780,45,732,157,10,002,81,65,NA,0,10,15,19,18,27,57
03,Baltimore City,026-015,07,299,518,243,35,43,2499,1862,52,45,1551,453,12,002,275,147,NA,0,18,30,72,61,93,148
