County,County Name,Precinct,Congressional,Legislative,Early Votes,Election Night Votes,Mail-In Ballot 1 Votes,Provisional Votes,Mail-In Ballot 2 Votes
03,Baltimore City,026-020,07,45,102,298,90,49,32
03,Baltimore City,026-021,07,45,93,257,112,9,68
03,Baltimore City,026-022,07,45,105,283,142,64,33
03,Baltimore City,026-023,07,45,146,327,155,10,54
03,Baltimore City,026-024,07,45,417,550,358,12,110
03,Baltimore City,026-025,07,45,168,350,218,17,54
03,Baltimore City,026-026,07,45,354,602,325,16,68
03,Baltimore City,026-027,07,45,377,427,407,93,58
03,Baltimore City,026-028,07,45,312,337,370,19,48
03,Baltimore City,026-029,07,45,979,1158,924,50,124
03,Baltimore City,026-030,07,45,206,429,211,28,54
03,Baltimore City,026-031,07,45,125,329,190,13,62
03,Baltimore City,026-032,07,45,266,573,293,23,66
03,Baltimore City,026-033,07,45,310,148,243,12,85
03,Baltimore City,027-001,07,45,417,988,470,44,178
03,Baltimore City,027-002,07,45,111,484,259,40,133
03,Baltimore City,027-003,07,45,139,620,224,40,129
03,Baltimore City,027-004,07,45,92,341,119,26,75
03,Baltimore City,027-005,07,45,384,1204,561,49,253
03,Baltimore City,027-006,07,45,581,1168,594,12,216
03,Baltimore City,027-007,07,45,146,360,245,35,58
03,Baltimore City,027-008,07,45,361,1097,435,48,188
03,Baltimore City,027-009,07,45,169,905,287,33,110
03,Baltimore City,027-010,07,45,95,415,126,22,62
03,Baltimore City,027-011,07,45,278,1232,456,51,195
03,Baltimore City,027-012,07,45,101,294,91,23,68
03,Baltimore City,027-013,07,45,283,910,492,65,183
03,Baltimore City,027-014,07,45,369,1552,466,9,323
03,Baltimore City,027-015,07,45,356,944,452,67,116
03,Baltimore City,027-016,07,45,112,495,181,83,101
03,Baltimore City,027-017,07,43A,274,462,298,37,118
03,Baltimore City,027-018,07,45,269,609,361,40,211
03,Baltimore City,027-019,07,45,198,379,279,22,79
03,Baltimore City,027-020,07,43A,519,828,712,109,238
03,Baltimore City,027-021,07,43A,428,839,453,31,111
03,Baltimore City,027-022,07,43A,757,901,749,72,148
03,Baltimore City,027-023,07,43A,187,244,139,21,47
03,Baltimore City,027-024,07,43A,103,177,93,23,16
03,Baltimore City,027-025,07,43A,318,390,361,21,73
03,Baltimore City,027-026,07,43A,253,200,243,365,87
03,Baltimore City,027-027,07,43A,503,482,409,66,80
03,Baltimore City,027-028,07,43A,317,358,344,53,52
03,Baltimore City,027-029,07,43A,192,229,154,12,45
03,Baltimore City,027-030,07,43A,283,486,361,8,62
03,Baltimore City,027-031,07,43A,482,847,508,41,85
03,Baltimore City,027-032,07,43A,395,1134,643,72,215
03,Baltimore City,027-033,07,43A,584,652,650,52,206
03,Baltimore City,027-034,07,43A,253,786,361,49,110
03,Baltimore City,027-035,07,43A,611,648,464,47,96
