Precinct,REGISTERED VOTERS - TOTAL,BALLOTS CAST - TOTAL,BALLOTS CAST - BLANK,Adjusted_or_Unadjusted,Census_Total_Pop,Adjusted_Total_Pop,Census_Total_Adult_Pop,Adjusted_Total_Adult_Pop,Adjusted_One_Race_Adult_Pop,Adjusted_White_Alone_Adult_Pop,Adjusted_Black_Alone_Adult_Pop,Adjusted_American_Indian_Alaskan_Native_Alone_Adult_Pop,Adjusted_Asian_Alone_Adult_Pop,Adjusted_Native_Hawaiian_Pacific_Islander_Alone_Adult_Pop,Adjusted_Other_Race_Alone_Adult_Pop,Adjusted_Multiracial_Adult_Pop,Adjusted_Hispanic_Latino_Adult_Pop,Adjusted_One_Race_Pop,Adjusted_White_Alone_Pop,Adjusted_Black_Alone_Pop,Adjusted_American_Indian_Alaskan_Native_Alone_Pop,Adjusted_Asian_Alone_Pop,Adjusted_Native_Hawaiian_Pacific_Islander_Alone_Pop,Adjusted_Other_Race_Alone_Pop,Adjusted_Multiracial_Pop,Adjusted_Hispanic_Latino_Pop,Registered_of_Adjusted_Adults,Turnout_of_Registered,Turnout_of_Adjusted_Adults,Registered_of_Unadjusted_Adults,Turnout_of_Unadjusted_Adults
009-005,1638,798,23,Adj,1872,1893,1562,1583,1508,344,1153,1,7,1,2,51,24,1787,386,1387,2,7,1,4,78,28,103.47,48.72,50.41,104.87,51.09
009-006,2369,1077,32,Adj,2133,2159,1763,1788,1713,109,1587,2,14,0,1,29,46,2057,125,1912,2,17,0,1,49,53,132.49,45.46,60.23,134.37,61.09
009-007,1161,346,10,Adj,2048,2096,1585,1633,1536,148,1368,2,9,0,9,51,46,1936,176,1732,4,12,0,12,91,69,71.1,29.8,21.19,73.25,21.83
009-008,1581,337,25,Adj,1430,1466,1116,1150,1088,18,1049,1,8,0,12,35,27,1386,24,1333,1,11,0,17,46,34,137.48,21.32,29.3,141.67,30.2
009-009,841,279,9,Adj,1142,1164,860,882,815,109,687,3,9,1,6,28,39,1044,124,896,3,12,1,8,49,71,95.35,33.17,31.63,97.79,32.44
009-010,1163,398,11,Adj,1644,1666,1272,1293,1156,244,870,5,30,0,7,42,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.95,34.22,30.78,91.43,31.29
009-011,294,51,4,Adj,437,449,319,331,305,8,289,0,2,0,6,11,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.82,17.35,15.41,92.16,15.99
009-012,974,220,13,Adj,1814,1856,1389,1431,1367,34,1322,6,2,0,3,42,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.06,22.59,15.37,70.12,15.84
009-013,844,178,13,Adj,658,679,506,527,497,17,471,6,3,0,0,7,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.15,21.09,33.78,166.8,35.18
009-014,935,223,10,Adj,1660,1724,1274,1337,1288,57,1223,2,4,0,2,28,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.93,23.85,16.68,73.39,17.5
009-015,1535,349,19,Adj,2405,2455,1767,1815,1764,27,1719,10,0,0,8,26,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.57,22.74,19.23,86.87,19.75
010-001,1008,274,18,Adj,1219,1239,958,978,934,18,911,0,3,0,2,20,24,1182,18,1154,0,5,0,5,30,27,103.07,27.18,28.02,105.22,28.6
